Model ID,Sum,NaTa_t.soma.gNaTa_tbar,Nap_Et2.soma.gNap_Et2bar,K_Pst.soma.gK_Pstbar,K_Tst.soma.gK_Tstbar,SK_E2.soma.gSK_E2bar,SKv3_1.soma.gSKv3_1bar,Ca_HVA.soma.gCa_HVAbar,Ca_LVAst.soma.gCa_LVAstbar,CaDynamics_E2.soma.gamma,CaDynamics_E2.soma.decay,none.soma.g_pas,none.axon.g_pas,none.dend.g_pas,none.apic.g_pas,Im.apic.gImbar,NaTa_t.apic.gNaTa_tbar,SKv3_1.apic.gSKv3_1bar,Ca_HVA.apic.gCa_HVAbar,Ca_LVAst.apic.gCa_LVAstbar,SK_E2.apic.gSK_E2bar,CaDynamics_E2.apic.gamma,CaDynamics_E2.apic.decay
78,4.45,2.49,0.000469,0.00283,0.0648,0.0451,0.625,0.000398,0.00321,0.000639,921,0.0000373,0.0000427,0.0000825,0.0000499,0.0000855,0.0221,0.000195,0.000689,0.0109,0.000775,6.68E-04,9.83E+01
27,4.45,2.55,0.000175,0.00339,0.0752,0.0461,0.767,0.000374,0.00289,0.000937,652,0.0000352,0.0000411,0.0000614,0.0000454,5.78E-05,0.0226,0.000189,0.000738,0.00622,0.00124,5.95E-04,1.15E+02
727,4.46,2.55,0.000176,0.00344,0.0752,0.0461,0.767,0.000374,0.00289,0.000937,652,0.0000352,0.0000411,0.0000614,0.0000454,0.0000578,0.0226,0.000189,0.000738,0.00622,0.00124,5.95E-04,1.15E+02
361,4.48,2.53,0.00019,0.00698,0.0752,0.0458,0.764,0.000374,0.00286,0.000596,651,0.0000352,0.0000411,0.0000619,0.0000454,0.0000572,0.0226,0.000234,0.000746,0.00649,0.00127,5.95E-04,1.16E+02
709,4.49,2.54,0.000175,3.39E-03,0.0752,0.0461,0.767,0.000374,0.00278,0.000599,652,0.0000352,0.0000411,0.0000619,0.0000454,0.0000578,0.0226,0.000189,0.000738,0.00644,0.00127,5.95E-04,1.15E+02
826,4.49,2.54,0.000175,0.00525,0.0752,0.0463,0.764,0.000374,0.00286,0.000596,652,0.0000352,0.0000412,0.0000619,0.0000454,0.0000578,0.0226,0.000194,0.000746,0.00644,0.00127,5.95E-04,1.16E+02
148,4.51,2.54,1.75E-04,0.00525,0.0752,0.0463,0.764,0.000374,0.00286,0.000596,652,0.0000352,0.0000412,0.0000619,0.0000454,0.0000578,0.0226,0.000189,0.000746,0.00644,0.00127,5.95E-04,1.16E+02
488,4.51,2.54,0.000175,0.00525,0.0752,0.0463,0.764,0.000374,0.00286,0.000596,652,0.0000352,0.0000412,0.0000619,0.0000454,0.0000578,0.0226,0.000189,0.000746,0.00644,0.00127,5.95E-04,1.16E+02
534,4.51,2.54,0.000175,0.00525,0.0752,0.0463,0.764,0.000374,0.00285,0.000596,652,0.0000352,0.0000412,0.0000619,0.0000454,0.0000578,0.0226,0.000189,0.000746,0.00644,0.00127,5.95E-04,1.16E+02
957,4.53,2.54,0.000175,5.25E-03,0.0752,0.0463,0.764,0.000374,0.00285,0.000598,652,0.0000352,0.0000412,0.0000619,0.0000455,0.0000577,0.0226,0.000189,0.000746,0.00644,0.00127,5.95E-04,1.16E+02
485,4.53,2.54,0.000175,0.00525,0.0752,0.0463,0.764,0.000374,0.00285,0.000596,652,0.0000352,0.0000412,0.0000619,0.0000455,0.0000577,0.0226,0.000189,0.000746,0.00644,0.00127,5.95E-04,1.16E+02
554,4.53,2.66,1.49E-04,0.00464,0.0661,0.0429,0.65,0.000307,0.00217,0.000593,711,0.0000368,0.0000391,0.0000693,0.0000434,0.000084,0.0217,0.000203,0.000702,0.00732,0.000992,6.18E-04,1.26E+02
553,4.53,2.54,0.000175,0.00541,0.0745,0.0461,0.764,0.000374,0.00286,0.000595,650,0.0000352,0.0000409,0.0000619,0.0000454,5.76E-05,0.0226,0.000188,0.000746,0.00644,0.00127,5.95E-04,1.17E+02
444,4.53,2.54,0.000175,0.00525,0.0745,0.0461,0.764,0.000374,0.00286,0.000595,650,0.0000352,0.0000409,0.0000619,0.0000454,0.0000576,0.0226,0.000188,0.000746,0.00644,0.00127,5.95E-04,1.17E+02
773,4.55,2.51,0.000466,1.02E-02,0.053,0.0375,0.604,0.000402,0.00293,0.000593,826,0.0000367,0.0000404,0.0000671,0.00005,0.0000986,0.0219,0.000161,0.00062,0.0152,0.000709,5.86E-04,8.08E+01
82,4.56,2.51,0.000466,0.0102,0.053,0.0375,0.604,0.000402,0.00293,0.000593,826,0.0000367,0.0000404,0.0000671,0.00005,9.86E-05,0.0219,0.000161,0.00062,0.0152,0.000709,5.86E-04,8.08E+01
77,4.57,2.64,0.000144,0.00485,0.0666,0.0429,0.648,0.000314,0.00218,0.000595,710,0.000036,0.0000392,0.0000689,0.0000434,0.0000836,0.0217,0.000203,0.000703,0.00733,0.00101,6.15E-04,1.26E+02
691,4.57,2.41,0.000809,0.00287,0.063,0.0431,0.651,0.000365,0.00313,0.000629,937,0.0000378,0.0000426,0.0000847,0.0000493,0.0000924,0.0223,0.000212,0.000625,0.0159,0.000674,6.52E-04,8.90E+01
343,4.59,2.41,0.000809,0.00285,0.063,0.0431,0.651,0.000365,0.00313,0.000629,937,0.0000378,0.0000426,0.0000847,0.0000493,0.0000924,0.0223,0.000212,0.000625,0.0159,0.000674,6.48E-04,8.90E+01
85,4.60,2.54,0.000174,0.00339,0.0752,0.0461,0.767,0.000373,0.00284,0.000596,653,0.0000353,0.0000411,0.0000619,0.0000454,5.78E-05,0.0225,0.000273,0.000738,0.00729,0.00127,5.93E-04,1.15E+02
95,4.61,2.66,0.000149,0.00485,0.0666,0.0429,0.648,0.000307,0.00217,0.000593,710,0.0000368,0.0000392,0.0000689,0.0000434,8.40E-05,0.0217,0.000203,0.000703,0.00733,0.00101,6.15E-04,1.26E+02
39,4.65,2.57,0.000149,0.00485,0.0652,0.0429,0.648,0.000307,0.00234,0.000591,710,0.0000368,0.0000394,0.0000689,0.0000434,0.000084,0.0217,0.000195,0.000703,0.00807,0.00101,6.15E-04,1.26E+02
615,4.66,2.41,0.00081,0.00285,0.063,0.043,0.652,0.000365,0.00313,0.000609,937,0.0000378,0.0000426,0.0000847,0.0000493,0.0000924,0.0223,0.000212,0.000625,0.0159,0.000676,6.48E-04,8.91E+01
248,4.66,2.41,0.000809,2.85E-03,0.063,0.043,0.652,0.000365,0.00313,0.000607,937,0.0000378,0.0000426,0.0000847,0.0000493,0.0000924,0.0223,0.000212,0.000625,0.0159,0.000676,6.48E-04,8.91E+01
914,4.66,2.41,0.00081,0.00285,0.063,0.043,0.653,0.000365,0.00313,0.000607,937,0.0000378,0.0000426,0.0000847,0.0000493,9.24E-05,0.0223,0.000212,0.000625,0.0159,0.000676,6.48E-04,8.91E+01
