t	Vm run 00	Vm run 01	Vm run 02	Vm run 03	Vm run 04	Vm run 05
134.475	-66.041029301	-48.5847118869	-67.370120437	-66.6718563237	-64.0054580484	-66.3537367076
134.5	-66.038786803	-49.1204037725	-67.338226701	-66.6815714809	-64.0212053473	-66.3145639292
134.525	-66.0370157198	-49.6385382994	-67.3073209297	-66.6911544787	-64.0371546771	-66.2755502316
134.55	-66.0357179668	-50.1394306629	-67.2773597882	-66.7006195144	-64.053317326	-66.2369536975
134.575	-66.0348953613	-50.6235106324	-67.2482963937	-66.7099822797	-64.0696992393	-66.1989567743
134.6	-66.0345493808	-51.0913179341	-67.220158078	-66.7192598844	-64.0863022061	-66.1616850853
134.625	-66.0346810127	-51.5434893384	-67.1929263144	-66.7284706532	-64.1031255931	-66.1252227687
134.65	-66.035290668	-51.9807393852	-67.1665608986	-66.735051837	-64.120167465	-66.0896232191
134.675	-66.0363819296	-52.4038369939	-67.1410179015	-66.7383366888	-64.1374251864	-66.0549169064
134.7	-66.0379601307	-52.8135802451	-67.1162565591	-66.738710944	-64.154895719	-66.021115987
134.725	-66.0400300996	-53.210771413	-67.0922415471	-66.7368637002	-64.1725757542	-65.9882175343
134.75	-66.0425949541	-53.5961914056	-67.0689435268	-66.7334767512	-64.1904617641	-65.9562068199
134.775	-66.045655813	-53.9705536443	-67.0463389583	-66.7282860985	-64.2085500146	-65.9250609572
134.8	-66.0421062676	-54.3344854525	-67.0244093989	-66.7213456625	-64.2268367533	-65.8947525796
134.825	-66.0331545907	-54.6885341763	-67.0031403996	-66.7129730612	-64.2453183577	-65.8652531185
134.85	-66.0208961793	-55.0331794617	-66.982520269	-66.7035908199	-64.2639913547	-65.8365353894
134.875	-66.0069669827	-55.3688420172	-66.9625390148	-66.6936224915	-64.2828523613	-65.8085744364
134.9	-65.992505268	-55.6958876109	-66.943187613	-66.683442636	-64.301898013	-65.7813468987
134.925	-65.9782759731	-56.0146283776	-66.9244575614	-66.6733598429	-64.3211249156	-65.7540813248
134.95	-65.964780065	-56.3253237723	-66.9059946885	-66.6636167008	-64.3405296294	-65.7261040556
134.975	-65.9523338923	-56.6281826429	-66.8872791184	-66.6543971277	-64.3601085317	-65.6970845063
135.0	-65.9411251022	-56.9233664386	-66.8678582984	-66.6458359982	-64.379857419	-65.6669864713
135.025	-65.9312520899	-57.2109943372	-66.847458559	-66.6380286539	-64.3995022653	-65.6359570248
135.05	-65.9227520216	-57.491148758	-66.825994697	-66.6310393102	-64.4186434469	-65.6042330638
135.075	-65.9156208521	-57.7638822382	-66.8035307952	-66.6249080828	-64.4369310652	-65.5720796958
135.1	-65.9098276491	-58.0292238036	-66.7802290128	-66.6196566622	-64.4520594196	-65.5397548717
135.125	-65.9053248109	-58.2871858276	-66.7563038754	-66.6152927793	-64.4629669285	-65.5074916709
135.15	-65.9020552877	-58.5377700014	-66.731987762	-66.6118149931	-64.469699206	-65.4754913044
135.175	-65.899957608	-58.7809731958	-66.7075076592	-66.6092154215	-64.4728221065	-65.4439221395
