t	Vm run 00	Vm run 01	Vm run 02	Vm run 03	Vm run 04	Vm run 05
321.1	-75.810484156	-76.9802841241	-77.4677820466	-75.1512661553	-76.0645133111	-75.0793036299
321.125	-75.8092199383	-76.9864462443	-77.476803495	-75.1684961533	-76.0618022437	-75.064666305
321.15	-75.8079126265	-76.9926733587	-77.4858266009	-75.1857391382	-76.0595656657	-75.051225463
321.175	-75.8066024512	-76.9989648451	-77.4948473837	-75.2029913915	-76.0577939267	-75.0389832728
321.2	-75.8053282429	-77.0053200189	-77.503862221	-75.2202492408	-76.0556362077	-75.0279346113
321.225	-75.8041266407	-77.0117381356	-77.5128678666	-75.2375090616	-76.0518091745	-75.0180683051
321.25	-75.8030315603	-77.0182183917	-77.521861459	-75.2547672802	-76.0452061437	-75.0093682241
321.275	-75.8020738711	-77.0247599282	-77.530840522	-75.2720203761	-76.0351882941	-75.0018142336
321.3	-75.8012812389	-77.0313618324	-77.5398029584	-75.2892648864	-76.0215976302	-74.9953830167
321.325	-75.8006780926	-77.0380231413	-77.5487470374	-75.3064974095	-76.0046436286	-74.9900487773
321.35	-75.800285683	-77.0447428444	-77.5576713777	-75.3223326227	-75.9847662588	-74.9857838364
321.375	-75.8001222058	-77.0515198874	-77.5665749265	-75.3352299402	-75.9625203507	-74.9825591347
321.4	-75.8002029659	-77.0576347592	-77.5754569367	-75.3442629936	-75.9384927661	-74.9803446517
321.425	-75.8005405681	-77.0619874673	-77.5843169411	-75.3491960192	-75.9132495109	-74.9791097514
321.45	-75.8011451206	-77.0636139977	-77.5931547268	-75.3502860899	-75.8873057126	-74.9788234639
321.475	-75.8020244418	-77.0619395058	-77.6019703088	-75.3480624337	-75.8611114307	-74.9794547116
321.5	-75.8031842656	-77.0567966952	-77.6107639033	-75.3431626091	-75.8350476669	-74.9809724873
321.525	-75.8046284401	-77.0483352852	-77.6195359027	-75.3362306639	-75.8094284936	-74.9833439469
321.55	-75.8063591177	-77.0369089595	-77.6237218448	-75.3278617492	-75.7845065279	-74.9865297536
321.575	-75.8083769347	-77.0229783183	-77.6201441394	-75.3185407962	-75.7604799499	-74.9897806968
321.6	-75.8106811804	-77.0070402213	-77.6080327648	-75.3086014028	-75.7374999512	-74.9918832683
321.625	-75.8132699549	-76.9895817038	-77.5881709509	-75.2982285344	-75.7156779599	-74.9916966124
321.65	-75.8161403166	-76.9710529101	-77.562022888	-75.2874951827	-75.6950922927	-74.9884710052
321.675	-75.819288418	-76.9518533751	-77.5312019942	-75.2764099639	-75.6757940729	-74.9819074477
321.7	-75.8227096318	-76.9323270549	-77.4972092673	-75.2649583618	-75.6578123698	-74.9720760966
321.725	-75.8263986675	-76.9127627456	-77.4613295468	-75.2531305696	-75.6411585843	-74.9592946662
321.75	-75.8303496772	-76.8933975851	-77.4246087721	-75.2409360886	-75.6258301374	-74.9440182773
321.775	-75.8345563533	-76.8744221249	-77.3878686303	-75.2284083685	-75.6118135392	-74.9267573631
321.8	-75.8390120165	-76.8559860139	-77.3517358342	-75.2156032461	-75.5990869157	-74.9080234488
321.825	-75.8437096965	-76.8382037155	-77.3166748135	-75.202535147	-75.5876220701	-74.8882968984
321.85	-75.8486422035	-76.8211599257	-77.2830186794	-75.1891350751	-75.5773861489	-74.8680100867
321.875	-75.8538021931	-76.8049145187	-77.2509964126	-75.1752635252	-75.5683429747	-74.8475406173
